instrumented_object_store::instrumented_object_store::Instrumentable	trait	instrumented-object-store	datafusion-tracing	internal	-	api/instrumented_object_store.instrumented_object_store.md	0	1	-
instrumented_object_store::instrumented_object_store::InstrumentedMultiPartUpload	struct	instrumented-object-store	datafusion-tracing	internal	-	api/instrumented_object_store.instrumented_object_store.md	0	5	A wrapper around an `ObjectStore` that instruments all public methods with tracing.
instrumented_object_store::instrumented_object_store::InstrumentedObjectStore	struct	instrumented-object-store	datafusion-tracing	internal	-	api/instrumented_object_store.instrumented_object_store.md	0	14	A wrapper around an `ObjectStore` that instruments all public methods with tracing.
instrumented_object_store::instrumented_object_store::instrument_object_store	function	instrumented-object-store	datafusion-tracing	supported	-	api/instrumented_object_store.instrumented_object_store.md	1	0	Instruments the provided `ObjectStore` with tracing.
instrumented_object_store::instrumented_object_store::instrument_result	function	instrumented-object-store	datafusion-tracing	internal	-	api/instrumented_object_store.instrumented_object_store.md	0	0	-
opentelemetry::baggage::Baggage	struct	opentelemetry	opentelemetry	supported	-	api/opentelemetry.baggage.md	0	16	A set of name/value pairs describing user-defined properties.
opentelemetry::baggage::BaggageExt	trait	opentelemetry	opentelemetry	supported	-	api/opentelemetry.baggage.md	0	4	Methods for sorting and retrieving baggage data in a context.
opentelemetry::baggage::BaggageMetadata	struct	opentelemetry	opentelemetry	supported	-	api/opentelemetry.baggage.md	0	9	An optional property set that can be added to [`Baggage`] values.
opentelemetry::baggage::Iter	struct	opentelemetry	opentelemetry	supported	-	api/opentelemetry.baggage.md	0	2	An iterator over the entries of a [`Baggage`].
opentelemetry::baggage::KeyValueMetadata	struct	opentelemetry	opentelemetry	supported	-	api/opentelemetry.baggage.md	0	5	[`Baggage`] name/value pairs with their associated metadata.
opentelemetry::common::Array	enum	opentelemetry	opentelemetry	supported	-	api/opentelemetry.common.md	1	8	A [Value::Array] containing homogeneous values.
opentelemetry::common::InstrumentationScope	struct	opentelemetry	opentelemetry	supported	-	api/opentelemetry.common.md	1	10	Information about a library or crate providing instrumentation.
opentelemetry::common::InstrumentationScopeBuilder	struct	opentelemetry	opentelemetry	supported	-	api/opentelemetry.common.md	1	5	Configuration options for [InstrumentationScope].
opentelemetry::common::Key	struct	opentelemetry	opentelemetry	supported	-	api/opentelemetry.common.md	1	16	The key part of attribute [KeyValue] pairs.
opentelemetry::common::KeyValue	struct	opentelemetry	opentelemetry	supported	-	api/opentelemetry.common.md	1	5	A key-value pair describing an attribute.
opentelemetry::common::StringValue	struct	opentelemetry	opentelemetry	supported	-	api/opentelemetry.common.md	1	12	Wrapper for string-like values
opentelemetry::common::Value	enum	opentelemetry	opentelemetry	supported	-	api/opentelemetry.common.md	1	13	The value part of attribute [KeyValue] pairs.
opentelemetry::context::Context	struct	opentelemetry	opentelemetry	supported	-	api/opentelemetry.context.md	1	23	An execution-scoped collection of values.
opentelemetry::context::ContextGuard	struct	opentelemetry	opentelemetry	supported	-	api/opentelemetry.context.md	1	2	A guard that resets the current context to the prior context when dropped.
opentelemetry::context::future_ext::FutureExt	trait	opentelemetry	opentelemetry	supported	-	api/opentelemetry.context.future_ext.md	2	2	Extension trait allowing futures, streams, and sinks to be traced with a span.
opentelemetry::context::future_ext::WithContext	struct	opentelemetry	opentelemetry	supported	-	api/opentelemetry.context.future_ext.md	2	8	A future, stream, or sink that has an associated context.
opentelemetry::global::metrics::meter	function	opentelemetry	opentelemetry	supported	-	api/opentelemetry.global.metrics.md	1	0	Creates a named [`Meter`] via the currently configured global [`MeterProvider`].
opentelemetry::global::metrics::meter_provider	function	opentelemetry	opentelemetry	supported	-	api/opentelemetry.global.metrics.md	1	0	Returns an instance of the currently configured global [`MeterProvider`].
opentelemetry::global::metrics::meter_with_scope	function	opentelemetry	opentelemetry	supported	-	api/opentelemetry.global.metrics.md	1	0	Creates a [`Meter`] with the given instrumentation scope.
opentelemetry::global::metrics::set_meter_provider	function	opentelemetry	opentelemetry	supported	-	api/opentelemetry.global.metrics.md	1	0	Sets the given [`MeterProvider`] instance as the current global meter provider. Libraries should NOT call this function. It is intended for applications/executables.
opentelemetry::global::propagation::get_text_map_propagator	function	opentelemetry	opentelemetry	supported	-	api/opentelemetry.global.propagation.md	1	0	Executes a closure with a reference to the current global [`TextMapPropagator`] propagator.
opentelemetry::global::propagation::set_text_map_propagator	function	opentelemetry	opentelemetry	supported	-	api/opentelemetry.global.propagation.md	1	0	Sets the given [`TextMapPropagator`] propagator as the current global propagator.
opentelemetry::global::trace::BoxedSpan	struct	opentelemetry	opentelemetry	supported	-	api/opentelemetry.global.trace.md	1	9	Wraps the [`BoxedTracer`]'s [`Span`] so it can be used generically by applications without knowing the underlying type.
opentelemetry::global::trace::BoxedTracer	struct	opentelemetry	opentelemetry	supported	-	api/opentelemetry.global.trace.md	1	3	Wraps the [`GlobalTracerProvider`]'s [`Tracer`] so it can be used generically by applications without knowing the underlying type.
